pollutant,network_countrycode,day,value_numeric_mean,country
SO2,SE,20,1.7976183333333333,Sweden
CO,DE,20,0.2477862025171625,Germany
CO,CY,20,0.22338129444444446,Undefined
SO2,BE,20,2.125892857142857,Belgium
PM10,FI,20,12.943096011969697,Finland
SO2,ES,20,3.054183778234086,Spain
CO,BE,20,0.21920289855072464,Belgium
SO2,DE,20,1.3233588356660413,Germany
O3,BE,20,80.55140186915888,Belgium
PM10,BE,20,18.516374358974357,Belgium
PM10,CZ,20,24.503296703296705,Czech Republic
SO2,BG,20,6.537333333333334,Bulgaria
CO,BG,20,0.4475,Bulgaria
O3,CZ,20,77.98858858858858,Czech Republic
PM10,BA,20,25.497079591836734,Bosnia and Herzegovina
CO,ES,20,0.2797037793667007,Spain
O3,FI,20,71.83851177999999,Finland
PM10,BG,20,19.94970802919708,Bulgaria
CO,CZ,20,0.4631472713432836,Czech Republic
O3,ES,20,91.04573941987637,Spain
CO,EE,20,0.2430987619047619,Estonia
SO2,CH,20,0.17098125,Switzerland
CO,CH,20,0.2924703703703704,Switzerland
SO2,CZ,20,3.154576271186441,Czech Republic
SO2,FI,20,1.1903254809523809,Finland
O3,CH,20,48.06132068965517,Switzerland
PM10,CH,20,15.2992908045977,Switzerland
O3,CY,20,81.65318111111111,Undefined
SO2,CY,20,0.8749853816666666,Undefined
O3,BG,20,61.61611111111111,Bulgaria
O3,DE,20,73.32489497252207,Germany
PM10,ES,20,18.586395348837208,Spain
CO,AT,20,0.22519750064748204,Austria
O3,EE,20,58.594216470588236,Estonia
SO2,AT,20,2.3468204729281767,Austria
O3,DK,20,80.15124999999999,Denmark
O3,BA,20,66.46598542553191,Bosnia and Herzegovina
PM10,EE,20,8.783264166666667,Estonia
O3,AD,20,86.575,Andorra
O3,AT,20,81.77575601926164,Austria
CO,DK,20,0.182,Denmark
O3,SE,20,71.50030422535211,Sweden
PM10,DK,20,14.594444444444443,Denmark
PM10,AT,20,17.922797312796146,Austria
PM10,SE,20,16.13076003589091,Sweden
CO,SE,20,0.155188815,Sweden
SO2,BA,20,23.64137732394366,Bosnia and Herzegovina
CO,AD,20,0.15,Andorra
SO2,DK,20,0.4383333333333333,Denmark
CO,BA,20,416.9231471428571,Bosnia and Herzegovina
PM10,DE,20,18.741083653034515,Germany
SO2,AD,20,0.31666666666666665,Andorra
SO2,EE,20,0.778763412962963,Estonia
PM10,AD,20,13.35,Andorra
O3,ES,21,84.31906491247145,Spain
O3,CY,21,86.29469929577465,Undefined
O3,EE,21,65.18197688442211,Estonia
PM10,DK,21,19.949305555555554,Denmark
SO2,EE,21,0.7659143652777778,Estonia
SO2,CZ,21,3.560488841657811,Czech Republic
CO,CY,21,0.20784799014084507,Undefined
SO2,ES,21,3.588445701357466,Spain
CO,CZ,21,0.37019349145038166,Czech Republic
CO,DK,21,0.19578947368421054,Denmark
O3,CZ,21,80.3659890539484,Czech Republic
PM10,CZ,21,22.848406593406594,Czech Republic
CO,ES,21,0.299566265060241,Spain
PM10,EE,21,13.995045069444444,Estonia
SO2,DE,21,1.679078633853702,Germany
SO2,DK,21,0.3721739130434783,Denmark
PM10,DE,21,20.79133691175707,Germany
CO,DE,21,0.24930041600225225,Germany
O3,DE,21,74.05953995181946,Germany
O3,DK,21,80.58494318181819,Denmark
SO2,CH,21,0.27389270833333335,Switzerland
CO,EE,21,0.2177658273809524,Estonia
PM10,ES,21,17.182556662515566,Spain
SO2,CY,21,1.6183552743055556,Undefined
SO2,SE,21,1.78004125,Sweden
O3,BA,21,68.18448586021505,Bosnia and Herzegovina
CO,BA,21,382.64405171875,Bosnia and Herzegovina
CO,SE,21,0.12096201125,Sweden
SO2,BA,21,24.366983452593917,Bosnia and Herzegovina
PM10,AT,21,17.373176563089906,Austria
SO2,BE,21,2.6954449152542375,Belgium
O3,AT,21,81.14229076539102,Austria
CO,AT,21,0.2206643217013889,Austria
SO2,AT,21,2.4204108847266435,Austria
PM10,SE,21,16.300738372454546,Sweden
PM10,AD,21,6.341666666666666,Andorra
O3,AD,21,80.42553191489361,Andorra
CO,AD,21,0.05217391304347827,Andorra
SO2,AD,21,0.3227272727272727,Andorra
O3,SE,21,70.53943432574431,Sweden
CO,BE,21,0.21555160142348753,Belgium
PM10,BA,21,23.083731143552313,Bosnia and Herzegovina
O3,BG,21,60.059099756691,Bulgaria
PM10,FI,21,12.541597200631314,Finland
PM10,BE,21,22.21933033419023,Belgium
PM10,CH,21,14.847709626436782,Switzerland
O3,CH,21,53.366525792507204,Switzerland
SO2,BG,21,7.6533834586466165,Bulgaria
CO,BG,21,0.4158992805755396,Bulgaria
O3,FI,21,73.35711028098959,Finland
O3,BE,21,66.56169212690952,Belgium
PM10,BG,21,20.453824561403508,Bulgaria
CO,CH,21,0.27616064814814817,Switzerland
SO2,FI,21,1.0772826741071428,Finland
CO,EE,22,0.2125363602484472,Estonia
O3,ES,22,74.24377314814815,Spain
PM10,SE,22,23.78299807052783,Sweden
PM10,ES,22,17.554740613356262,Spain
SO2,ES,22,3.387633113590264,Spain
SO2,FI,22,3.015867428125,Finland
PM10,EE,22,18.67223188405797,Estonia
CO,ES,22,0.30353992210321323,Spain
CO,SE,22,0.2179960540909091,Sweden
O3,FI,22,69.97344485543478,Finland
SO2,SE,22,1.73683,Sweden
PM10,FI,22,18.21054999623342,Finland
O3,SE,22,73.52040258558226,Sweden
SO2,AD,22,0.5608695652173913,Andorra
O3,EE,22,62.32816515151515,Estonia
PM10,DK,22,30.507971014492757,Denmark
CO,BG,22,0.42078880407124686,Bulgaria
SO2,BG,22,8.320357142857143,Bulgaria
PM10,BE,22,39.5417293729373,Belgium
O3,BE,22,60.667080745341615,Belgium
CO,BE,22,0.21885057471264366,Belgium
SO2,BE,22,1.7116591928251121,Belgium
PM10,BA,22,23.525469806763287,Bosnia and Herzegovina
O3,BA,22,61.26744828337875,Bosnia and Herzegovina
CO,BA,22,352.74340486910995,Bosnia and Herzegovina
SO2,BA,22,26.757339128113877,Bosnia and Herzegovina
PM10,AT,22,18.8187839640489,Austria
O3,AT,22,79.96453766233766,Austria
CO,AT,22,0.22298037536231885,Austria
SO2,AT,22,2.2225260187803086,Austria
O3,AD,22,59.699999999999996,Andorra
CO,AD,22,0.008695652173913044,Andorra
SO2,EE,22,0.9735091850241546,Estonia
O3,BG,22,55.15687979539642,Bulgaria
PM10,BG,22,21.050151515151516,Bulgaria
PM10,AD,22,12.569565217391306,Andorra
CO,CH,22,0.25240676328502415,Switzerland
SO2,CH,22,0.2703543478260869,Switzerland
O3,DK,22,84.02508982035928,Denmark
SO2,DK,22,0.7168181818181818,Denmark
PM10,DE,22,23.592346597717924,Germany
O3,DE,22,74.11762376344649,Germany
CO,DE,22,0.27359875205412054,Germany
SO2,DE,22,1.699700495107108,Germany
PM10,CZ,22,20.60741410488246,Czech Republic
CO,DK,22,0.18862385321100916,Denmark
CO,CZ,22,0.2938724257657658,Czech Republic
SO2,CZ,22,4.357881257275903,Czech Republic
O3,CY,22,96.10153784615386,Undefined
CO,CY,22,0.22337024415384615,Undefined
SO2,CY,22,1.4381199674242424,Undefined
PM10,CH,22,13.645162668665668,Switzerland
O3,CZ,22,80.36939655172414,Czech Republic
O3,CH,22,68.78449383458647,Switzerland
O3,CZ,23,70.6111289031225,Czech Republic
CO,SE,23,0.18545328208333334,Sweden
CO,CZ,23,0.2993738784337349,Czech Republic
SO2,CZ,23,3.912325830653805,Czech Republic
O3,SE,23,67.84703244444445,Sweden
PM10,EE,23,17.328607291666668,Estonia
SO2,CY,23,1.4084415041666667,Undefined
CO,CY,23,0.21663205661971832,Undefined
PM10,SE,23,23.254959355147328,Sweden
PM10,CH,23,17.604225899280575,Switzerland
O3,CH,23,71.86836883116884,Switzerland
CO,CH,23,0.2529443925233645,Switzerland
PM10,CZ,23,19.800055370985604,Czech Republic
SO2,CH,23,0.23154761904761906,Switzerland
O3,CY,23,74.97018126760564,Undefined
SO2,SE,23,1.7254866666666666,Sweden
SO2,FI,23,2.277162657440476,Finland
PM10,FI,23,15.318508938456633,Finland
PM10,BG,23,19.42673043478261,Bulgaria
O3,EE,23,68.75780601851852,Estonia
O3,ES,23,76.01144099247163,Spain
CO,EE,23,0.19721692261904764,Estonia
SO2,EE,23,0.6698413819907407,Estonia
PM10,DK,23,20.646527777777777,Denmark
SO2,DE,23,1.5770668596533333,Germany
PM10,ES,23,17.554722460482783,Spain
CO,DK,23,0.18919642857142857,Denmark
SO2,DK,23,0.43000000000000005,Denmark
PM10,DE,23,17.521103623778828,Germany
O3,FI,23,70.12229943298429,Finland
O3,DE,23,71.10734654047994,Germany
CO,DE,23,0.2264652161136108,Germany
O3,DK,23,68.96252873563218,Denmark
O3,BG,23,53.624626168224296,Bulgaria
SO2,ES,23,3.5238068427890865,Spain
PM10,AD,23,15.429166666666667,Andorra
SO2,BA,23,32.965068664440736,Bosnia and Herzegovina
CO,BG,23,0.41305361305361304,Bulgaria
CO,AT,23,0.22740661657439445,Austria
CO,BA,23,346.70386753768844,Bosnia and Herzegovina
SO2,AT,23,2.222634290834512,Austria
O3,BA,23,65.51062502604167,Bosnia and Herzegovina
PM10,BA,23,21.08050462962963,Bosnia and Herzegovina
SO2,BE,23,1.626839826839827,Belgium
PM10,AT,23,18.475686167904502,Austria
CO,BE,23,0.16156028368794326,Belgium
O3,AD,23,74.75416666666666,Andorra
O3,AT,23,71.92784960531782,Austria
CO,AD,23,0.020833333333333332,Andorra
CO,ES,23,0.30151654676258993,Spain
SO2,BG,23,8.593,Bulgaria
SO2,AD,23,0.49583333333333335,Andorra
O3,BE,23,75.56127167630058,Belgium
PM10,BE,23,24.00508391167192,Belgium
PM10,ES,24,17.529833836858007,Spain
O3,FI,24,46.48877995625,Finland
NO2,SE,24,13.995493927873873,Sweden
CO,ES,24,0.2920377149195785,Spain
NO2,CZ,24,9.020819935691318,Czech Republic
NO,BG,24,5.813506493506494,Bulgaria
NO,CZ,24,2.467366666666667,Czech Republic
O3,ES,24,62.352178180445456,Spain
NO2,BG,24,14.418658008658008,Bulgaria
NO2,CY,24,14.510565727272729,Undefined
SO2,FI,24,1.7171281671232876,Finland
NO2,BA,24,17.677518009049773,Bosnia and Herzegovina
NO2,ES,24,11.108201077866568,Spain
NO2,FI,24,10.54990390143198,Finland
NO2,BE,24,15.532398452611218,Belgium
NO,BA,24,6.642172797202797,Bosnia and Herzegovina
NO2,AT,24,10.264874972844037,Austria
NO,AT,24,1.6393805860597017,Austria
NO2,AD,24,17.507692307692306,Andorra
NO2,CH,24,12.187945572916666,Switzerland
NO,DE,24,4.984888214622865,Germany
NO,AD,24,7.592307692307693,Andorra
PM10,SE,24,24.161275984113168,Sweden
NO2,DE,24,12.416619770427685,Germany
NO,DK,24,17.226328125,Denmark
O3,SE,24,43.503863461538465,Sweden
NO2,EE,24,11.43459105128205,Estonia
CO,SE,24,0.21130439285714286,Sweden
NO,ES,24,2.6970327740928597,Spain
SO2,SE,24,1.7136661111111111,Sweden
PM10,FI,24,19.620282878055153,Finland
NO,SE,24,2.582461538461539,Sweden
NO2,DK,24,11.54734375,Denmark
PM10,CH,24,14.987101322314048,Switzerland
PM10,EE,24,22.399142857142856,Estonia
O3,BG,24,31.176806722689076,Bulgaria
CO,BG,24,0.41179245283018867,Bulgaria
SO2,BG,24,8.181756097560976,Bulgaria
PM10,BE,24,18.176602444284686,Belgium
O3,BE,24,40.01877133105802,Belgium
CO,BE,24,0.17054621848739498,Belgium
SO2,BE,24,1.5993827160493828,Belgium
PM10,BA,24,22.1448241005291,Bosnia and Herzegovina
PM10,BG,24,19.835484633569738,Bulgaria
O3,BA,24,33.755867322834646,Bosnia and Herzegovina
SO2,BA,24,24.098905784313725,Bosnia and Herzegovina
PM10,AT,24,11.059362340570642,Austria
CO,AT,24,0.19201348802,Austria
SO2,AT,24,1.802855069433517,Austria
SO2,ES,24,3.6789663354589948,Spain
PM10,AD,24,15.423809523809522,Andorra
O3,AD,24,60.14,Andorra
SO2,AD,24,0.39473684210526316,Andorra
CO,BA,24,328.34671794117645,Bosnia and Herzegovina
SO2,CH,24,0.18423035714285715,Switzerland
O3,AT,24,53.256804292929296,Austria
O3,CH,24,67.29271695652174,Switzerland
O3,EE,24,35.10600027777778,Estonia
CO,EE,24,0.22803874149659864,Estonia
SO2,EE,24,0.7254393131216931,Estonia
PM10,DK,24,20.025,Denmark
O3,DK,24,59.24520833333333,Denmark
CO,CH,24,0.21957978723404253,Switzerland
CO,DK,24,0.1843877551020408,Denmark
SO2,DK,24,0.18666666666666665,Denmark
PM10,DE,24,15.138332158146442,Germany
O3,DE,24,57.520528046277256,Germany
CO,AD,24,0.1368421052631579,Andorra
SO2,DE,24,1.6599717918651276,Germany
PM10,CZ,24,14.058503937007874,Czech Republic
O3,CZ,24,58.6673835125448,Czech Republic
SO2,CY,24,1.9970115777777777,Undefined
SO2,CZ,24,2.4341229385307344,Czech Republic
O3,CY,24,42.23202915,Undefined
CO,CY,24,0.24836749735849056,Undefined
CO,CZ,24,0.21560471117318433,Czech Republic
CO,DE,24,0.20032393065102197,Germany
NO2,ES,25,12.383973503798405,Spain
NO,ES,25,3.3157793463546703,Spain
PM10,DE,25,16.819579799675218,Germany
NO2,DE,25,12.712528199110652,Germany
NO,DE,25,5.069689053262783,Germany
SO2,DE,25,1.4937667529814271,Germany
PM10,CZ,25,17.621045918367347,Czech Republic
CO,CZ,25,0.24267979914414414,Czech Republic
NO2,CZ,25,10.645496183206108,Czech Republic
PM10,SE,25,19.383614105324675,Sweden
CO,DE,25,0.21806981230861966,Germany
CO,ES,25,0.2891006191950465,Spain
SO2,DK,25,-0.315,Denmark
NO,DK,25,4.438861386138614,Denmark
NO,CZ,25,2.9308056042031523,Czech Republic
CO,SE,25,0.0846658709090909,Sweden
NO2,SE,25,9.143516668245066,Sweden
NO,SE,25,2.722130434782609,Sweden
SO2,SE,25,1.6940869565217391,Sweden
PM10,FI,25,14.743438970673711,Finland
PM10,ES,25,18.94645632368703,Spain
NO2,FI,25,8.252332712666666,Finland
PM10,EE,25,22.142202826086958,Estonia
CO,EE,25,0.1948178447204969,Estonia
SO2,EE,25,1.1897531415458937,Estonia
PM10,DK,25,22.980645161290322,Denmark
CO,DK,25,0.12760869565217392,Denmark
NO2,DK,25,3.538663366336634,Denmark
SO2,FI,25,0.848688240625,Finland
NO2,EE,25,4.292410801932367,Estonia
SO2,ES,25,3.3780712166172107,Spain
CO,CY,25,0.19981425714285714,Undefined
SO2,CZ,25,2.4796778190830238,Czech Republic
NO,AD,25,6.613043478260869,Andorra
NO2,AD,25,20.969565217391306,Andorra
CO,AD,25,0.2217391304347826,Andorra
PM10,AD,25,11.35217391304348,Andorra
SO2,AT,25,2.01170831578985,Austria
NO,AT,25,1.639996356782066,Austria
NO2,AT,25,9.094262203300653,Austria
CO,AT,25,0.1944040123090909,Austria
PM10,AT,25,13.783170946253172,Austria
SO2,BA,25,26.8838175528169,Bosnia and Herzegovina
NO,BA,25,9.633521219512195,Bosnia and Herzegovina
NO2,BA,25,15.107023665768194,Bosnia and Herzegovina
CO,BA,25,376.5381494535519,Bosnia and Herzegovina
PM10,BA,25,26.515630302267002,Bosnia and Herzegovina
SO2,AD,25,0.41739130434782606,Andorra
NO2,BE,25,13.626575342465754,Belgium
SO2,BE,25,1.5550223214285714,Belgium
NO2,CY,25,8.1292181171875,Undefined
SO2,CY,25,2.143138209375,Undefined
PM10,CH,25,15.0895484984985,Switzerland
CO,CH,25,0.22591207729468601,Switzerland
SO2,CH,25,0.20438315217391304,Switzerland
NO2,CH,25,11.22121244509517,Switzerland
CO,BG,25,0.4285969387755102,Bulgaria
NO2,BG,25,17.238823529411764,Bulgaria
NO,BG,25,7.148540305010893,Bulgaria
SO2,BG,25,8.201888667992048,Bulgaria
PM10,BE,25,20.862694389438943,Belgium
CO,BE,25,0.18132692307692308,Belgium
PM10,BG,25,21.00607766990291,Bulgaria
SO2,ES,26,3.5808624376336424,Spain
CO,ES,26,0.2838312858312858,Spain
NO2,ES,26,11.240118132383275,Spain
NO,ES,26,3.3028718847352025,Spain
PM10,DE,26,19.398066606294872,Germany
NO2,CZ,26,12.805072727272726,Czech Republic
NO2,DE,26,12.877429584117783,Germany
NO,DE,26,4.571379539026654,Germany
SO2,DE,26,1.4807935174404763,Germany
PM10,CZ,26,21.7256,Czech Republic
CO,CZ,26,0.23035804932038834,Czech Republic
CO,DE,26,0.2104770497463768,Germany
PM10,ES,26,15.794545918367348,Spain
NO2,EE,26,3.4121941865079366,Estonia
NO,DK,26,5.7625,Denmark
NO2,DK,26,3.93,Denmark
CO,DK,26,0.13178571428571428,Denmark
PM10,DK,26,25.848750000000003,Denmark
SO2,EE,26,0.49026312904761904,Estonia
CO,EE,26,0.16574788775510205,Estonia
PM10,EE,26,12.500595357142856,Estonia
SO2,FI,26,0.6701972489795918,Finland
NO2,FI,26,6.907416285620915,Finland
PM10,FI,26,9.582054452922078,Finland
SO2,SE,26,1.5833092857142856,Sweden
NO,SE,26,2.3937692307692306,Sweden
NO2,SE,26,7.019661876192109,Sweden
NO,CZ,26,3.6049436090225564,Czech Republic
SO2,DK,26,-0.06999999999999999,Denmark
SO2,CZ,26,2.2442036553524805,Czech Republic
SO2,BE,26,2.2355932203389832,Belgium
NO2,CY,26,11.612356812121211,Undefined
CO,SE,26,0.26724302,Sweden
SO2,AD,26,0.4538461538461539,Andorra
NO,AD,26,8.961538461538462,Andorra
NO2,AD,26,14.884615384615385,Andorra
CO,AD,26,0.16923076923076924,Andorra
PM10,AD,26,16.96153846153846,Andorra
SO2,AT,26,2.0701359295366792,Austria
NO,AT,26,1.8619665466156983,Austria
NO2,AT,26,10.067720950206732,Austria
CO,AT,26,0.18995022486842106,Austria
PM10,AT,26,16.868469936208225,Austria
SO2,BA,26,23.88218113207547,Bosnia and Herzegovina
NO,BA,26,8.805412348484849,Bosnia and Herzegovina
NO2,BA,26,16.023032954545453,Bosnia and Herzegovina
CO,BA,26,387.65321715596326,Bosnia and Herzegovina
PM10,BA,26,27.526479220183486,Bosnia and Herzegovina
NO2,BE,26,11.060063224446786,Belgium
CO,BE,26,0.1718359375,Belgium
PM10,BE,26,26.059628498727733,Belgium
SO2,BG,26,8.213172690763052,Bulgaria
NO,BG,26,6.848245614035088,Bulgaria
NO2,BG,26,12.60311403508772,Bulgaria
CO,BG,26,0.40450777202072535,Bulgaria
PM10,BG,26,18.440454545454543,Bulgaria
SO2,CH,26,0.382378431372549,Switzerland
NO2,CH,26,15.153249226804123,Switzerland
CO,CH,26,0.25787130434782607,Switzerland
PM10,CH,26,17.681331420765027,Switzerland
SO2,CY,26,2.066482957272727,Undefined
CO,CY,26,0.1776855634375,Undefined
PM10,SE,26,19.027032945417346,Sweden
